,transgene,reporter,brain_region,spines,apical_intact,specimen_id,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,hero_first_last_adratio,hero_first_mean_adratio,hero_second_last_adratio,id,input_resistance_mohm,latency,max_rate_first_last_adratio,max_rate_first_mean_adratio,max_rate_long_square,max_rate_second_last_adratio,mouse_line,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheo_first_spike_hw,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
773,Chrna2,positive,VISp5,spiny,intact,556363725,0.0239337667465,111.165,-18.6574991567,0.0859304090773,1.2123,5.70866,1.026075,-49.0000038147,-49.5520846049,-51.8593788147,False,False,False,0.714848236259,0.783879818288,0.872518457752,556369950,114.496624,0.08058,0.510102407971,0.610972981933,17.0,0.640741765846,Chrna2-Cre_OE25,1.20812,5.70508,1.0236,42.7812538147,45.0833358765,45.679690361,0.00092,556365554,41,105.00010848,0.108139015734,1.274491136,1.24962,5.74733333333,1.341195,-56.0,-56.8437538147,-73.0000038147,19.396197513,130.0,117.125002543,1170.0,1.20766,5.70462,1.023205,-37.90625,-40.0000012716,-48.1250009537,556365558,1.24962,5.74733333333,1.341195,-56.0,-56.8437538147,-73.0000038147,4.69022121585,4.82550712283,4.75046347144,-83.7812576294,-72.03099823
841,Chrna2,positive,VISp5,spiny,intact,567399060,0.0382499771338,93.488,6.09999941184,0.10767046137,1.14006,4.89949,1.024765,-46.4375,-46.5781288147,-50.617190361,False,False,False,0.499542375984,0.583818244053,0.745194947831,567419104,134.641728,0.05748,0.324540604624,0.398710589445,18.0,0.565797273266,Chrna2-Cre_OE25,1.138,4.89771,1.02329,41.1875038147,44.0156288147,41.015625,0.00072,567403014,35,160.625115037,0.186788439751,2.395360768,1.18664,4.9464,1.444125,-53.1875,-55.2500038147,-75.140625,25.9344392177,110.0,96.9375,1300.0,1.13756,4.89727,1.0229,-36.3437538147,-36.890625,-44.5078163147,567403018,1.18664,4.9464,1.444125,-53.1875,-55.2500038147,-75.140625,2.97829531655,2.98536559216,3.01812066242,-89.3750076294,-74.5188674927
912,Chrna2,positive,VISp5,spiny,intact,566991946,0.0319007383669,68.1142857143,-13.4649999484,0.276785714286,1.08282,2.88732,1.0252725,-48.4375038147,-44.2083346049,-50.484377861,False,False,False,0.434993924666,0.525587248322,0.60510328068,566993644,295.471392,0.02318,0.385363954846,0.460144085522,23.0,0.539120280265,Chrna2-Cre_OE25,1.07984,2.88524,1.0234575,27.6562519073,31.6875006358,30.7500014305,0.0009,566992335,42,381.116092205,0.0323237255216,1.182186752,1.09544,2.90584666667,1.2777825,-52.9375038147,-52.5104192098,-62.7226605415,37.5600806138,50.0,46.6666666667,410.0,1.07928,2.88463333333,1.02301,-35.1250038147,-30.9895846049,-40.6132845879,566992314,1.09544,2.90584666667,1.2777825,-52.9375038147,-52.5104192098,-62.7226605415,2.41013214428,2.21522804361,2.51703824858,-97.2500076294,-61.2463378906
974,Chrna2,positive,VISp5,spiny,intact,556369531,0.178237419425,125.366666667,7.85249990032,0.0873307565387,1.151185,4.63894,1.025278,-49.4687538147,-44.4791666667,-53.9687522888,False,False,False,0.481786833856,0.612961978197,0.876269592476,556380067,139.47488,0.055405,0.171395881007,0.323842877835,17.0,0.24942791762,Chrna2-Cre_OE25,1.14656,4.63495,1.023122,34.78125,37.6562512716,36.0687507629,0.00104,556372710,29,213.125109673,0.0492967180908,1.602342912,1.184285,4.668195,1.740638,-56.2812538147,-54.4270858765,-68.4687545776,42.9305015449,70.0,90.3333333333,750.0,1.14602,4.634375,1.022699,-39.65625,-34.3541679382,-46.7000030518,556372714,1.184285,4.668195,1.740638,-56.2812538147,-54.4270858765,-68.4687545776,3.87134809798,3.49542499274,3.71090506479,-91.375,-67.7098922729
990,Chrna2,positive,VISp5,spiny,intact,569477234,0.389809018147,126.19,-1.74250002448,0.147222222222,1.16698,4.66291,1.02543,-45.9062538147,-46.0625,-51.9270865122,False,False,False,0.357538261153,0.430129056127,0.675350048844,569481024,233.527488,0.0499,0.308092485549,0.367309141811,17.0,0.548265895954,Chrna2-Cre_OE25,1.16416,4.66072,1.02358,38.03125,40.2968769073,39.9427102407,0.00096,569478424,46,247.209787369,0.130555033684,1.438256128,1.21302,4.69366,1.75829,-54.9375038147,-53.7500019073,-77.0104204814,34.4632411319,90.0,91.0624961853,850.0,1.1636,4.66012,1.02311,-33.8125,-33.328125,-44.1145846049,569478435,1.21302,4.69366,1.75829,-54.9375038147,-53.7500019073,-77.0104204814,2.97045489831,2.79772871379,3.07141281111,-102.65625,-75.7673873901
17,Chrna2,positive,VISp5,spiny,truncated,555088069,0.211282509818,68.4422222222,19.517500463,0.132680115274,1.16178,1.57634666667,1.02496,-52.7812538147,-56.2708358765,-57.3750019073,False,False,False,0.0247115286429,0.141433163414,0.0282344531808,555106308,417.74864,0.01898,0.183776022972,0.189810401441,22.0,0.199569274946,Chrna2-Cre_OE25,1.1605,1.5751,1.02384,22.7812519073,27.5520839691,27.3906259537,0.00058,555092863,46,570.625126362,0.0364815033972,2.143643136,,,1.4699,,,-61.3593769073,50.4095146905,10.0,13.875,200.0,1.16002,1.5746,1.02341,-41.3125,-44.645837148,-47.140625,555092832,1.16186,1.57645333333,1.4699,-52.875,-56.4062525431,-61.3593769073,1.87698117641,1.90478104631,1.92874125338,-99.1250076294,-60.1255912781
850,Chrna2,positive,VISp5,spiny,truncated,555060623,0.0687944492267,121.9,2.34999996893,0.252464788732,1.10346,2.69528,1.02532,-45.0312538147,-43.4166692098,-51.7343781789,False,False,False,0.336232498939,0.480812983467,0.422146796776,555074756,247.932016,0.02302,0.304229195089,0.407336571109,18.0,0.426739427012,Chrna2-Cre_OE25,1.10062,2.69332,1.02343333333,25.25,33.3229179382,26.9270852407,0.00094,555064018,45,320.468693972,0.0631639063358,1.108498816,1.12486,2.72340666667,1.34011333333,-49.7500038147,-50.958337148,-62.6979211171,29.3872915644,50.0,41.7916666667,370.0,1.10002,2.69273333333,1.02297666667,-32.9687538147,-34.0000012716,-37.213543574,555064024,1.12486,2.72340666667,1.34011333333,-49.7500038147,-50.958337148,-62.6979211171,2.66891142694,2.71310353346,2.70366396803,-96.5,-61.775352478
627,Chrna2,positive,VISpor6a,spiny,intact,555251867,0.044286706926,92.924,14.8625001195,0.299532101878,1.14152,4.56934,1.02461666667,-61.5937538147,-61.8229204814,-62.6979198456,False,False,False,0.449542837792,0.571434720847,0.579580088046,555400193,188.7088,0.0473,0.47619047619,0.551849857066,38.0,0.578042328042,Chrna2-Cre_OE25,1.14006,4.56775333333,1.02350666667,42.5,43.6354204814,38.213543574,0.00066,555255368,42,216.718822718,0.0732740610838,2.444811264,,,1.49781333333,,,-72.8750038147,24.3527628332,110.0,88.7083333333,700.0,1.13956,4.56725333333,1.02308333333,-43.8125038147,-41.1979179382,-45.4062519073,555255378,1.1417,4.56954666667,1.49781333333,-61.8437538147,-62.0104192098,-72.8750038147,2.4281945647,2.43772068686,2.06886589565,-95.375,-71.9751281738
74,Chrna2,positive,VISp5,sparsely spiny,NA,569670455,0.0897806572898,61.0285714286,-6.71749982029,0.244081265244,1.11664,2.18262666667,1.02454333333,-56.0312538147,-56.9687538147,-59.9635442098,False,False,False,0.332408691632,0.471254681648,0.495145631068,569684332,279.408608,0.02654,0.294871794872,0.338981200463,28.0,0.341025641026,Chrna2-Cre_OE25,1.11548,2.18146666667,1.02346333333,26.0,27.8958352407,28.5625012716,0.00058,569677751,32,301.875025034,0.0287001095712,1.04172864,,2.20098666667,1.55708333333,,-53.5312538147,-61.5625019073,36.0189703009,29.9999980927,29.0416673024,340.0,1.11496,2.18094666667,1.02301,-41.3437538147,-40.8125025431,-44.7604192098,569677755,1.11674,2.18268666667,1.55708333333,-56.1250038147,-57.0312538147,-61.5625025431,1.64459202171,1.58954169096,1.71304759136,-93.71875,-60.2090263367
154,Chrna2,positive,VISp5,sparsely spiny,NA,573105010,0.0172610026505,34.1907142857,34.0624993489,0.542037031034,1.17276,1.99673333333,1.02478666667,-57.5625038147,-57.8750038147,-61.520837148,False,False,False,0.458377239199,0.530844975593,0.50210748156,573112129,499.737088,0.01794,0.392204628502,0.512676851143,80.0,0.42509135201,Chrna2-Cre_OE25,1.17132,1.99549333333,1.02355333333,16.75,30.541668574,28.1666679382,0.00064,573106956,40,421.093732119,0.124511115253,1.151960192,1.19462,,1.59589333333,-57.59375,,-68.5520884196,22.2179516384,20.0,24.4166666667,270.0,1.17084,1.99500666667,1.02312666667,-41.46875,-39.9375012716,-42.7500025431,573106968,1.17304,1.99689333333,1.59589333333,-57.90625,-58.0312538147,-68.5520884196,1.76979190405,1.74259080928,1.72379252961,-102.03125,-67.2419128418
